species	code	habitat
Atelopus vogli	1.6	Forest - Subtropical/Tropical Moist Lowland
Atelopus vogli	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Athearnia crassa	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Atherinella callida	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Atlantisia podarces	17	Other
Barbus microbarbis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Basananthe cupricola	17	Other
Basananthe cupricola	2.1	Savanna - Dry
Begonia eiromischa	1.6	Forest - Subtropical/Tropical Moist Lowland
Bermuteo avivorus	1.4	Forest - Temperate
Bettongia anhydra	18	Unknown
Bettongia pusilla	18	Unknown
Blutaparon rigidum	12.2	Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc
Blutaparon rigidum	3.5	Shrubland - Subtropical/Tropical Dry
Boromys offella	18	Unknown
Boromys torrei	18	Unknown
Bos primigenius	1.4	Forest - Temperate
Bos primigenius	4.4	Grassland - Temperate
Bos primigenius	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Bos primigenius	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Bradycellus chavesi	1.4	Forest - Temperate
Brotomys voratus	18	Unknown
Bulweria bifax	10.1	Marine Oceanic - Epipelagic (0-200m)
Bulweria bifax	10.2	Marine Oceanic - Mesopelagic (200-1000m)
Bulweria bifax	1.5	Forest - Subtropical/Tropical Dry
Bulweria bifax	3.5	Shrubland - Subtropical/Tropical Dry
Bulweria bifax	9.1	Marine Neritic - Pelagic
Bythinella gibbosa	5.9	Wetlands (inland) - Freshwater Springs and Oases
Bythinella limnopsis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Bythinella mauritanica	18	Unknown
Bythinella microcochlia	18	Unknown
Bythinella punica	5.9	Wetlands (inland) - Freshwater Springs and Oases
Cabalus modestus	3.2	Shrubland - Subantarctic
Cabalus modestus	4.3	Grassland - Subantarctic
Calathus extensicollis	1.4	Forest - Temperate
Calathus vicenteorum	1.4	Forest - Temperate
Caloenas maculata	1.6	Forest - Subtropical/Tropical Moist Lowland
Caloprymnus campestris	8.2	Desert - Temperate
Cambarellus alvarezi	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Cambarellus chihuahuae	5.9	Wetlands (inland) - Freshwater Springs and Oases
Camptorhynchus labradorius	12.2	Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc
Camptorhynchus labradorius	12.3	Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches
Camptorhynchus labradorius	9.10	Marine Neritic - Estuaries
Caracara lutosa	3.5	Shrubland - Subtropical/Tropical Dry
Carpodacus ferreorostris	1.4	Forest - Temperate
Centaurea pseudoleucolepis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Centrobunus braueri	1.6	Forest - Subtropical/Tropical Moist Lowland
Chaeropus ecaudatus	1.5	Forest - Subtropical/Tropical Dry
Chaeropus ecaudatus	2.1	Savanna - Dry
Chaeropus ecaudatus	3.5	Shrubland - Subtropical/Tropical Dry
Chaeropus ecaudatus	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Chaeropus ecaudatus	4.5	Grassland - Subtropical/Tropical Dry
Chaetoptila angustipluma	1.9	Forest - Subtropical/Tropical Moist Montane
Chambardia letourneuxi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Characodon garmani	5.9	Wetlands (inland) - Freshwater Springs and Oases
Chasmistes muriei	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Chelonoidis abingdonii	3.5	Shrubland - Subtropical/Tropical Dry
Chelonoidis niger	1.5	Forest - Subtropical/Tropical Dry
Chelonoidis niger	3.5	Shrubland - Subtropical/Tropical Dry
Chenonetta finschi	1.4	Forest - Temperate
Chenonetta finschi	3.4	Shrubland - Temperate
Chenonetta finschi	4.4	Grassland - Temperate
Chilonopsis nonpareil	3.5	Shrubland - Subtropical/Tropical Dry
Chioninia coctei	13.1	Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands
Chitala lopis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Chitala lopis	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Chitala lopis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Chloridops kona	1.5	Forest - Subtropical/Tropical Dry
Chlorostilbon bracei	17	Other
Chlorostilbon elegans	17	Other
Chondrostoma scodrense	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Chondrostoma scodrense	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Cichlocolaptes mazarbarnetti	1.9	Forest - Subtropical/Tropical Moist Montane
Ciridops anna	1.6	Forest - Subtropical/Tropical Moist Lowland
Clappia cahabensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Clappia umbilicata	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Clelia errabunda	18	Unknown
Clermontia multiflora	1.6	Forest - Subtropical/Tropical Moist Lowland
Coenocorypha barrierensis	3.4	Shrubland - Temperate
Coenocorypha barrierensis	4.4	Grassland - Temperate
Coenocorypha iredalei	3.2	Shrubland - Subantarctic
Coenocorypha iredalei	4.3	Grassland - Subantarctic
Colaptes oceanicus	1.6	Forest - Subtropical/Tropical Moist Lowland
Columba jouyi	1.6	Forest - Subtropical/Tropical Moist Lowland
Columba thiriouxi	1.6	Forest - Subtropical/Tropical Moist Lowland
Columba versicolor	1.6	Forest - Subtropical/Tropical Moist Lowland
Conilurus albipes	1.4	Forest - Temperate
Conilurus capricornensis	1.5	Forest - Subtropical/Tropical Dry
Conilurus capricornensis	2.1	Savanna - Dry
Contomastix charrua	13.1	Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands
Conuropsis carolinensis	1.4	Forest - Temperate
Copeoglossum redondae	1.5	Forest - Subtropical/Tropical Dry
Coregonus alpenae	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus bezola	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus fera	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus gutturosus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus hiemalis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus johannae	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus nigripinnis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coregonus oxyrinchus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Coregonus oxyrinchus	9.10	Marine Neritic - Estuaries
Coregonus restrictus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coryphomys buehleri	18	Unknown
Cottus echinatus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Coturnix novaezelandiae	4.4	Grassland - Temperate
Coua delalandei	1.6	Forest - Subtropical/Tropical Moist Lowland
Craugastor anciano	1.9	Forest - Subtropical/Tropical Moist Montane
Craugastor anciano	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Craugastor escoces	1.9	Forest - Subtropical/Tropical Moist Montane
Craugastor escoces	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Craugastor omoaensis	1.6	Forest - Subtropical/Tropical Moist Lowland
