species	code	habitat
Polyommatus bollandi	4.4	Grassland - Temperate
Dypsis antanambensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Dipterocarpus littoralis	1.5	Forest - Subtropical/Tropical Dry
Discula tabellata	4.4	Grassland - Temperate
Discula tabellata	6	Rocky areas (eg. inland cliffs, mountain peaks)
Pseudocleopatra dartevellei	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Dombeya tavia	1.5	Forest - Subtropical/Tropical Dry
Dombeya tavia	2.1	Savanna - Dry
Ocotea cantareirae	1.9	Forest - Subtropical/Tropical Moist Montane
Plectostoma charasense	1.6	Forest - Subtropical/Tropical Moist Lowland
Astragalus tatlii	4.4	Grassland - Temperate
Hopea subalata	1.6	Forest - Subtropical/Tropical Moist Lowland
Chassalia capitata	1.5	Forest - Subtropical/Tropical Dry
Paroedura lohatsara	1.5	Forest - Subtropical/Tropical Dry
Paroedura lohatsara	6	Rocky areas (eg. inland cliffs, mountain peaks)
Alzoniella marianae	5.9	Wetlands (inland) - Freshwater Springs and Oases
Isthmohyla tica	1.9	Forest - Subtropical/Tropical Moist Montane
Isthmohyla tica	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Coregonus pennantii	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Zoosphaerium piligerum	1.9	Forest - Subtropical/Tropical Moist Montane
Acanthobrama tricolor	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Acanthobrama tricolor	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Acanthobrama tricolor	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Acanthobrama tricolor	5.9	Wetlands (inland) - Freshwater Springs and Oases
Libocedrus chevalieri	3.7	Shrubland - Subtropical/Tropical High Altitude
Hyperolius ruvuensis	1.5	Forest - Subtropical/Tropical Dry
Hyperolius ruvuensis	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Hyperolius ruvuensis	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Oligosoma hoparatea	3.4	Shrubland - Temperate
Oligosoma hoparatea	6	Rocky areas (eg. inland cliffs, mountain peaks)
Dendrotriton cuchumatanus	1.9	Forest - Subtropical/Tropical Moist Montane
Gardenia candida	1.6	Forest - Subtropical/Tropical Moist Lowland
Tylostigma herminioides	4.7	Grassland - Subtropical/Tropical High Altitude
Ceratozamia zaragozae	1.5	Forest - Subtropical/Tropical Dry
Alsophylax tadjikiensis	3.5	Shrubland - Subtropical/Tropical Dry
Vatica yeechongii	1.6	Forest - Subtropical/Tropical Moist Lowland
Vatica yeechongii	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Melanthera kamolensis	3.5	Shrubland - Subtropical/Tropical Dry
Cebus kaapori	1.6	Forest - Subtropical/Tropical Moist Lowland
Cebus kaapori	1.8	Forest - Subtropical/Tropical Swamp
