species	code	habitat
Pteropus mariannus	1.7	Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
Grevillea longicuspis	1.4	Forest - Temperate
Saxifraga presolanensis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Quercus macdougallii	1.5	Forest - Subtropical/Tropical Dry
Quercus macdougallii	1.6	Forest - Subtropical/Tropical Moist Lowland
Eucalyptus brevipes	1.4	Forest - Temperate
Eucalyptus brevipes	3.4	Shrubland - Temperate
Eucalyptus brevipes	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Bursera heteresthes	1.5	Forest - Subtropical/Tropical Dry
Bursera heteresthes	1.6	Forest - Subtropical/Tropical Moist Lowland
Apodiscus chevalieri	1.6	Forest - Subtropical/Tropical Moist Lowland
Columnea atahualpae	1.9	Forest - Subtropical/Tropical Moist Montane
Podocarpus humbertii	1.5	Forest - Subtropical/Tropical Dry
Podocarpus humbertii	1.6	Forest - Subtropical/Tropical Moist Lowland
Podocarpus humbertii	1.9	Forest - Subtropical/Tropical Moist Montane
Podocarpus humbertii	3.7	Shrubland - Subtropical/Tropical High Altitude
Hydroporus guernei	1.4	Forest - Temperate
Hydroporus guernei	15.2	Artificial/Aquatic - Ponds (below 8ha)
Hydroporus guernei	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Hydroporus guernei	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Hydroporus guernei	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Pseudamnicola solitaria	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Pseudamnicola solitaria	5.16	Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools
Pseudamnicola solitaria	5.9	Wetlands (inland) - Freshwater Springs and Oases
Neomonachus schauinslandi	10.1	Marine Oceanic - Epipelagic (0-200m)
Neomonachus schauinslandi	10.2	Marine Oceanic - Mesopelagic (200-1000m)
Neomonachus schauinslandi	12.1	Marine Intertidal - Rocky Shoreline
Neomonachus schauinslandi	12.2	Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc
Neomonachus schauinslandi	13.1	Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands
Neomonachus schauinslandi	9.1	Marine Neritic - Pelagic
Geithusa pulchra	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Homalium boinense	1.5	Forest - Subtropical/Tropical Dry
Tapirus indicus	1.6	Forest - Subtropical/Tropical Moist Lowland
Tapirus indicus	1.8	Forest - Subtropical/Tropical Swamp
