species	code	habitat
Dypsis bernierana	1.6	Forest - Subtropical/Tropical Moist Lowland
Cyclanorbis senegalensis	15.1	Artificial/Aquatic - Water Storage Areas (over 8ha)
Cyclanorbis senegalensis	15.2	Artificial/Aquatic - Ponds (below 8ha)
Cyclanorbis senegalensis	15.9	Artificial/Aquatic - Canals and Drainage Channels, Ditches
Cyclanorbis senegalensis	2.2	Savanna - Moist
Cyclanorbis senegalensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Cyclanorbis senegalensis	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Cyclanorbis senegalensis	5.3	Wetlands (inland) - Shrub Dominated Wetlands
Cyclanorbis senegalensis	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Cyclanorbis senegalensis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Cyclanorbis senegalensis	5.6	Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)
Cyclanorbis senegalensis	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Cyclanorbis senegalensis	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Vepris fadenii	1.6	Forest - Subtropical/Tropical Moist Lowland
Oryx leucoryx	8.1	Desert - Hot
Speleomantes flavus	1.4	Forest - Temperate
Speleomantes flavus	6	Rocky areas (eg. inland cliffs, mountain peaks)
Speleomantes flavus	7.1	Caves and Subterranean Habitats (non-aquatic) - Caves
Speleomantes flavus	7.2	Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats
Ptilinopus rarotongensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Agathis dammara	1.6	Forest - Subtropical/Tropical Moist Lowland
Agathis dammara	1.9	Forest - Subtropical/Tropical Moist Montane
Carcharhinus tjutjot	9.1	Marine Neritic - Pelagic
Carcharhinus tjutjot	9.2	Marine Neritic - Subtidal Rock and Rocky Reefs
Carcharhinus tjutjot	9.4	Marine Neritic - Subtidal Sandy
Carcharhinus tjutjot	9.5	Marine Neritic - Subtidal Sandy-Mud
Carcharhinus tjutjot	9.6	Marine Neritic - Subtidal Muddy
Pseudohynobius flavomaculatus	1.9	Forest - Subtropical/Tropical Moist Montane
Pseudohynobius flavomaculatus	3.6	Shrubland - Subtropical/Tropical Moist
Pseudohynobius flavomaculatus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Omocestus defauti	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Omocestus defauti	4.4	Grassland - Temperate
Encephalartos trispinosus	3.5	Shrubland - Subtropical/Tropical Dry
