EXPERIMENT	ISLAND	SPECIES	COUNT	RUN_TIME	HABITAT	DISTANCE	SIZE	TAXON	MIGRAT_RATE	MORTALITY
distance	Island-1	sp10	1	900	tundra	10	256	arthropods	2	0.05
distance	Island-2	sp01	0	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp02	1	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp03	4	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp04	0	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp05	2	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp06	0	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp07	1	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp08	2	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp09	1	900	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp10	2	900	tundra	410	256	arthropods	2	0.05
distance	Island-1	sp01	1	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp02	1	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp03	1	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp04	1	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp05	2	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp06	3	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp07	4	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp08	1	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp09	1	1100	tundra	10	256	arthropods	2	0.05
distance	Island-1	sp10	2	1100	tundra	10	256	arthropods	2	0.05
distance	Island-2	sp01	0	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp02	0	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp03	2	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp04	0	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp05	0	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp06	0	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp07	2	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp08	0	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp09	3	1100	tundra	410	256	arthropods	2	0.05
distance	Island-2	sp10	2	1100	tundra	410	256	arthropods	2	0.05
area	Island-1	sp01	0	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp02	0	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp03	0	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp04	1	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp05	0	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp06	0	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp07	2	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp08	0	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp09	1	100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp10	1	100	tundra	50	64	arthropods	2	0.05
area	Island-2	sp01	2	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp02	0	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp03	2	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp04	0	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp05	1	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp06	0	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp07	0	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp08	2	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp09	1	100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp10	1	100	tundra	50	256	arthropods	2	0.05
area	Island-1	sp01	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp02	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp03	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp04	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp05	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp06	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp07	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp08	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp09	0	300	tundra	50	64	arthropods	2	0.05
area	Island-1	sp10	1	300	tundra	50	64	arthropods	2	0.05
area	Island-2	sp01	1	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp02	2	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp03	1	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp04	2	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp05	1	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp06	1	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp07	2	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp08	1	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp09	1	300	tundra	50	256	arthropods	2	0.05
area	Island-2	sp10	1	300	tundra	50	256	arthropods	2	0.05
area	Island-1	sp01	1	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp02	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp03	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp04	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp05	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp06	1	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp07	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp08	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp09	0	500	tundra	50	64	arthropods	2	0.05
area	Island-1	sp10	0	500	tundra	50	64	arthropods	2	0.05
area	Island-2	sp01	0	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp02	3	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp03	0	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp04	0	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp05	2	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp06	1	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp07	2	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp08	1	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp09	3	500	tundra	50	256	arthropods	2	0.05
area	Island-2	sp10	2	500	tundra	50	256	arthropods	2	0.05
area	Island-1	sp01	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp02	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp03	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp04	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp05	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp06	1	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp07	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp08	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp09	0	700	tundra	50	64	arthropods	2	0.05
area	Island-1	sp10	0	700	tundra	50	64	arthropods	2	0.05
area	Island-2	sp01	3	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp02	2	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp03	0	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp04	2	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp05	2	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp06	1	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp07	0	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp08	0	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp09	2	700	tundra	50	256	arthropods	2	0.05
area	Island-2	sp10	3	700	tundra	50	256	arthropods	2	0.05
area	Island-1	sp01	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp02	2	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp03	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp04	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp05	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp06	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp07	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp08	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp09	0	900	tundra	50	64	arthropods	2	0.05
area	Island-1	sp10	0	900	tundra	50	64	arthropods	2	0.05
area	Island-2	sp01	2	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp02	1	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp03	0	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp04	2	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp05	2	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp06	3	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp07	0	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp08	2	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp09	1	900	tundra	50	256	arthropods	2	0.05
area	Island-2	sp10	2	900	tundra	50	256	arthropods	2	0.05
area	Island-1	sp01	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp02	1	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp03	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp04	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp05	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp06	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp07	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp08	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp09	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-1	sp10	0	1100	tundra	50	64	arthropods	2	0.05
area	Island-2	sp01	1	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp02	1	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp03	1	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp04	0	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp05	4	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp06	2	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp07	3	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp08	5	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp09	0	1100	tundra	50	256	arthropods	2	0.05
area	Island-2	sp10	4	1100	tundra	50	256	arthropods	2	0.05
